episode_num,episode_title,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
1,Miko Iino Wants to Be Soothed / Kaguya Doesn't Realize / Chika Fujiwara Wants to Battle,4.5,https://myanimelist.net/forum/?topicid=2005444,"({'positive': 79.51807228915662, 'neutral': 10.542168674698797, 'negative': 9.939759036144578}, 332)",0.875,0.6957831325301204,5.808142489980444,1.9697314056276412
2,Miyuki Shirogane Wants to Mediate / Kaguya Wants to Distract Him / Kaguya Preemptively Strikes,4.5,https://myanimelist.net/forum/?topicid=2008857,"({'positive': 80.25210084033614, 'neutral': 9.243697478991598, 'negative': 10.504201680672269}, 238)",0.875,0.6974789915966387,5.476463551931511,2.2546684872889475
3,Nagisa Kashiwagi Wants to Kill / Maki Shijo Wants to Take Action / Miyuki Shirogane Wants to Be Believed,4.5,https://myanimelist.net/forum/?topicid=2011021,"({'positive': 78.19148936170212, 'neutral': 7.9787234042553195, 'negative': 13.829787234042554}, 188)",0.875,0.6436170212765957,5.241747015059643,2.2537581309062964
4,"Kaguya Shinomiya's Impossible Demand: ""A Cowrie a Swallow Gave Birth To"" Part 1 / Yu Ishigami Wants to Prove Himself Worthy / Chika Fujiwara Wants to Stay Over",4.7,https://myanimelist.net/forum/?topicid=2012791,"({'positive': 77.83783783783784, 'neutral': 10.27027027027027, 'negative': 11.891891891891893}, 185)",0.925,0.6594594594594595,5.225746673713202,2.2659910660197395
5,Chika Fujiwara Wants to Beat a Rhythm / Ai Hayasaka Wants to Talk / Maki Shijo Wants Some Help,4.8,https://myanimelist.net/forum/?topicid=2014485,"({'positive': 77.28395061728395, 'neutral': 12.592592592592592, 'negative': 10.123456790123457}, 405)",0.95,0.671604938271605,6.0063531596017325,2.473487290973269
6,"The Student Council Wants to Move Forward / Miyuki Shirogane Wants to Make Her Confess, Part 2 / Miyuki Shirogane Wants to Make Her Confess, Part 3",4.6,https://myanimelist.net/forum/?topicid=2016039,"({'positive': 80.4733727810651, 'neutral': 6.508875739644971, 'negative': 13.017751479289942}, 169)",0.8999999999999999,0.6745562130177515,5.135798437050262,2.295960485260321
7,"Miko Iino Can't Love, Part 1 / Students Wish to Discuss the Culture Festival / Miyuki Shirogane Wants to Blow It Up",4.4,https://myanimelist.net/forum/?topicid=2017449,"({'positive': 72.95597484276729, 'neutral': 11.949685534591195, 'negative': 15.09433962264151}, 159)",0.8500000000000001,0.5786163522012577,5.075173815233827,2.199937663173851
8,"Kei Shirogane Wants to Show Off / About Kaguya Shinomiya, Part 2 / Kaguya Wants to Confess",4.7,https://myanimelist.net/forum/?topicid=2018920,"({'positive': 72.60869565217392, 'neutral': 16.52173913043478, 'negative': 10.869565217391305}, 230)",0.925,0.6173913043478262,5.442417710521793,2.2961866695108677
9,Spring of First Year / Kaguya's Culture Festival / Yu Ishigami's Culture Festival,4.7,https://myanimelist.net/forum/?topicid=2020395,"({'positive': 74.35897435897436, 'neutral': 13.333333333333334, 'negative': 12.307692307692308}, 195)",0.925,0.6205128205128205,5.278114659230517,2.2799535373135513
10,Kozue Makihara Wants to Have Fun / Chika Fujiwara Wants to Unmask / Miyuki Shirogane's Culture Festival,4.7,https://myanimelist.net/forum/?topicid=2021819,"({'positive': 68.9119170984456, 'neutral': 11.398963730569948, 'negative': 19.689119170984455}, 193)",0.925,0.4922279792746114,5.267858159063328,2.241259918912873
11,"Miyuki Shirogane Wants to Make Her Confess, Part 4 / Tsubame Koyasu Wants to Say No / Miyuki Shirogane Wants to Make Her Confess, Part 5",4.8,https://myanimelist.net/forum/?topicid=2023357,"({'positive': 72.68722466960352, 'neutral': 9.691629955947137, 'negative': 17.62114537444934}, 227)",0.95,0.5506607929515418,5.429345628954441,2.2928165852047138
12,"Kaguya Wants to Confess, Part 2 / Kaguya Wants to Confess, Part 3 / Dual Confessions, Part 1",4.8,https://myanimelist.net/forum/?topicid=2025072,"({'positive': 75.47169811320755, 'neutral': 13.20754716981132, 'negative': 11.320754716981133}, 424)",0.95,0.6415094339622642,6.052089168924417,2.484103797022849
13,"Dual Confessions, Part 2 / The Shuchiin Afterparty",4.8,https://myanimelist.net/forum/?topicid=2025257,"({'positive': 68.77470355731225, 'neutral': 20.55335968379447, 'negative': 10.67193675889328}, 506)",0.95,0.5810276679841897,6.2285110035911835,2.5609106171495553
