episode_num,episode_title,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
1,I'm Luffy! The Man Who's Gonna Be King of the Pirates!,4.1,https://myanimelist.net/forum/?topicid=43183,"({'positive': 69.31216931216932, 'neutral': 19.576719576719576, 'negative': 11.11111111111111}, 378)",0.7749999999999999,0.582010582010582,5.937536205082426,1.948636696773252
2,Enter the Great Swordsman! Pirate Hunter Roronoa Zoro!,4.1,https://myanimelist.net/forum/?topicid=43890,"({'positive': 68.14159292035397, 'neutral': 16.8141592920354, 'negative': 15.04424778761062}, 113)",0.7749999999999999,0.5309734513274336,4.736198448394496,1.9977021491237952
3,Morgan versus Luffy! Who's the Mysterious Pretty Girl?,4.2,https://myanimelist.net/forum/?topicid=50879,"({'positive': 74.71264367816092, 'neutral': 14.942528735632186, 'negative': 10.344827586206897}, 87)",0.8,0.6436781609195401,4.477336814478207,1.9796792811303856
4,Luffy's Past! Enter Red-Haired Shanks!,4.2,https://myanimelist.net/forum/?topicid=40432,"({'positive': 63.33333333333333, 'neutral': 12.222222222222221, 'negative': 24.444444444444443}, 90)",0.8,0.38888888888888884,4.51085950651685,1.9198569191340311
5,"A Terrifying Mysterious Power! Captain Buggy, the Clown Pirate!",4.2,https://myanimelist.net/forum/?topicid=40439,"({'positive': 53.75, 'neutral': 20.0, 'negative': 26.25}, 80)",0.8,0.275,4.394449154672439,1.8473265184516177
6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,4.2,https://myanimelist.net/forum/?topicid=40594,"({'positive': 56.16438356164384, 'neutral': 13.698630136986301, 'negative': 30.136986301369863}, 73)",0.8,0.26027397260273977,4.30406509320417,1.8029163960646317
7,Epic Showdown! Swordsman Zoro vs. Acrobat Cabaji!,4.1,https://myanimelist.net/forum/?topicid=40615,"({'positive': 65.15151515151516, 'neutral': 15.151515151515152, 'negative': 19.696969696969695}, 66)",0.7749999999999999,0.4545454545454546,4.204692619390966,1.809288617500263
8,Who is the Victor? Devil Fruit Power Showdown!,4.2,https://myanimelist.net/forum/?topicid=43213,"({'positive': 63.38028169014085, 'neutral': 12.676056338028168, 'negative': 23.943661971830984}, 71)",0.8,0.3943661971830986,4.276666119016055,1.8200802334248543
9,The Honorable Liar? Captain Usopp!,4.1,https://myanimelist.net/forum/?topicid=43312,"({'positive': 68.25396825396825, 'neutral': 15.873015873015872, 'negative': 15.873015873015872}, 63)",0.7749999999999999,0.5238095238095238,4.1588830833596715,1.8194432101485123
10,The Weirdest Guy Ever! Jango the Hypnotist!,4.1,https://myanimelist.net/forum/?topicid=43514,"({'positive': 58.94736842105262, 'neutral': 24.210526315789473, 'negative': 16.842105263157894}, 95)",0.7749999999999999,0.4210526315789473,4.564348191467836,1.894961008298824
11,"Expose the Plot! Pirate Butler, Captain Kuro!",4.1,https://myanimelist.net/forum/?topicid=43515,"({'positive': 57.14285714285714, 'neutral': 3.571428571428571, 'negative': 39.285714285714285}, 56)",0.7749999999999999,0.17857142857142855,4.04305126783455,1.7228959261762007
12,Clash with the Black Cat Pirates! The Great Battle on the Slope!,4.2,https://myanimelist.net/forum/?topicid=121938,"({'positive': 61.53846153846154, 'neutral': 11.538461538461538, 'negative': 26.923076923076923}, 52)",0.8,0.34615384615384615,3.970291913552122,1.7098354214705422
13,The Terrifying Duo! Meowban Brothers vs. Zoro!,4.2,https://myanimelist.net/forum/?topicid=44220,"({'positive': 66.66666666666666, 'neutral': 14.583333333333334, 'negative': 18.75}, 48)",0.8,0.47916666666666663,3.8918202981106265,1.720205596561959
14,Luffy Back in Action! Miss Kaya's Desperate Resistance!,4.2,https://myanimelist.net/forum/?topicid=44222,"({'positive': 53.2258064516129, 'neutral': 19.35483870967742, 'negative': 27.419354838709676}, 62)",0.8,0.2580645161290322,4.143134726391533,1.7303512097706308
15,Beat Kuro! Usopp the Man's Tearful Resolve!,4.1,https://myanimelist.net/forum/?topicid=44377,"({'positive': 58.620689655172406, 'neutral': 12.068965517241379, 'negative': 29.310344827586203}, 58)",0.7749999999999999,0.29310344827586204,4.07753744390572,1.7189980254880532
16,Protect Kaya! The Usopp Pirates' Great Efforts!,4.2,https://myanimelist.net/forum/?topicid=44381,"({'positive': 63.1578947368421, 'neutral': 19.298245614035086, 'negative': 17.543859649122805}, 57)",0.8,0.456140350877193,4.060443010546419,1.7588953467279165
17,Angry Explosion! Kuro vs. Luffy! How it Ends!,4.3,https://myanimelist.net/forum/?topicid=44384,"({'positive': 77.55102040816327, 'neutral': 8.16326530612245, 'negative': 14.285714285714285}, 98)",0.825,0.6326530612244898,4.59511985013459,1.952917064521749
18,You're the Weird Creature! Gaimon and His Strange Friends!,4.0,https://myanimelist.net/forum/?topicid=44508,"({'positive': 66.66666666666666, 'neutral': 17.391304347826086, 'negative': 15.942028985507244}, 69)",0.75,0.5072463768115942,4.248495242049359,1.8646646708456758
19,The Three-Sword Style's Past! Zoro and Kuina's Vow!,4.4,https://myanimelist.net/forum/?topicid=103454,"({'positive': 52.17391304347826, 'neutral': 9.782608695652174, 'negative': 38.04347826086957}, 92)",0.8500000000000001,0.1413043478260869,4.532599493153256,1.8471421279562548
20,Famous Cook! Sanji of the Sea Restaurant!,4.2,https://myanimelist.net/forum/?topicid=121984,"({'positive': 67.24137931034483, 'neutral': 17.24137931034483, 'negative': 15.517241379310345}, 58)",0.8,0.5172413793103448,4.07753744390572,1.81048023779308
21,Unwelcome Customer! Sanji's Food and Gin's Debt!,4.3,https://myanimelist.net/forum/?topicid=121988,"({'positive': 74.50980392156863, 'neutral': 13.725490196078432, 'negative': 11.76470588235294}, 51)",0.825,0.6274509803921569,3.9512437185814275,1.803543734191666
